age,breachtot,freq
81,1,0.001782531
83,1,0
87,1,0
90,1,0
99,1,0.001782531
18,2,0.001782531
19,2,0.005347594
20,2,0
21,2,0
22,2,0.005347594
23,2,0.005347594
24,2,0.007130125
25,2,0.003565062
26,2,0.003565062
27,2,0.003565062
28,2,0.003565062
29,2,0.005347594
30,2,0.012477718
31,2,0.007130125
32,2,0.001782531
33,2,0.001782531
34,2,0
35,2,0.007130125
36,2,0.005347594
37,2,0.005347594
38,2,0.01426025
39,2,0.001782531
40,2,0.003565062
41,2,0.003565062
42,2,0.001782531
43,2,0.001782531
44,2,0.005347594
45,2,0.001782531
46,2,0.001782531
47,2,0.001782531
48,2,0.008912656
49,2,0.001782531
50,2,0.007130125
51,2,0.005347594
52,2,0.001782531
53,2,0.012477718
54,2,0.008912656
55,2,0.003565062
56,2,0.003565062
57,2,0.005347594
58,2,0.007130125
59,2,0.005347594
60,2,0.008912656
61,2,0.008912656
62,2,0.005347594
63,2,0.005347594
64,2,0.003565062
65,2,0.001782531
66,2,0.001782531
67,2,0.003565062
68,2,0.005347594
69,2,0.003565062
70,2,0.003565062
71,2,0.001782531
72,2,0.001782531
73,2,0
74,2,0.001782531
75,2,0.001782531
76,2,0
77,2,0
79,2,0
80,2,0
81,2,0
83,2,0
87,2,0.001782531
90,2,0.001782531
99,2,0.001782531
18,3,0.003565062
19,3,0.001782531
20,3,0
21,3,0
22,3,0.001782531
23,3,0.003565062
24,3,0.001782531
25,3,0.007130125
26,3,0
27,3,0.001782531
28,3,0.005347594
29,3,0.001782531
30,3,0.003565062
31,3,0.003565062
32,3,0.005347594
33,3,0
34,3,0.005347594
35,3,0.003565062
36,3,0.003565062
37,3,0.001782531
38,3,0.003565062
39,3,0.001782531
40,3,0.003565062
41,3,0
42,3,0
43,3,0.001782531
44,3,0.003565062
45,3,0.001782531
46,3,0.003565062
47,3,0.001782531
48,3,0.003565062
49,3,0.003565062
50,3,0.003565062
51,3,0.003565062
52,3,0.001782531
53,3,0
54,3,0
55,3,0.010695187
56,3,0.003565062
57,3,0.008912656
58,3,0.001782531
59,3,0.003565062
60,3,0.005347594
61,3,0.003565062
62,3,0.001782531
63,3,0.003565062
64,3,0.001782531
65,3,0
66,3,0
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0.001782531
72,3,0
73,3,0
74,3,0.001782531
75,3,0
76,3,0
77,3,0
79,3,0
80,3,0.001782531
81,3,0
83,3,0
87,3,0
90,3,0
99,3,0
18,4,0
19,4,0
20,4,0
21,4,0
